Paper_Name,Difficulty,English_Marks,GK_Marks,Maths_Marks,Total_Marks,OTA_Total_Marks,IMA_Selection,INA_Selection,AFA_Selection,OTA_Selection
CDS 2 2023,Moderate,64.96714153011233,55.77226245720831,33.61735698828815,154.35676097560878,98.58449851840048,1,1,1,0
Standard Mock,Moderate,75.23029856408026,45.19035651660983,32.658466252766644,153.07912133345673,107.8887648168469,1,1,1,1
CDS 2 2023,Moderate,75.79212815507391,42.366307368780575,42.67434729152909,160.83278281538358,118.466475446603,1,1,1,1
CDS 2 2022,Easy,70.42560043585965,49.411242957156915,35.365823071875376,155.20266646489193,105.79142350773503,1,1,1,0
CDS 2 2023,Moderate,62.41962271566034,27.300986009843605,15.86719755342202,105.58780627892597,78.28682026908236,0,0,0,0
Standard Mock,Moderate,54.37712470759027,51.77096799114329,24.87168879665576,131.0197814953893,79.24881350424603,0,1,0,0
Standard Mock,Moderate,50.91975924478789,65.58778522705865,20.876962986647086,137.38450745849363,71.79672223143498,1,1,0,0
CDS 2 2022,Easy,62.74223699513465,37.90302176543852,40.67528204687924,141.3205408074524,103.41751904201388,1,1,0,0
CDS 1 2023,Hard,49.556172754748175,26.188077070932366,30.88738071767893,106.63163054335948,80.44355347242711,0,0,0,0
CDS 2 2022,Easy,68.75698018345672,51.49967500248068,33.99361310081195,154.25026828674933,102.75059328426866,1,1,1,0
CDS 1 2022,Moderate,53.98293387770603,47.83803330314479,53.522781845089376,155.34374902594018,107.5057157227954,1,1,1,1
CDS 2 2023,Moderate,49.422890710440996,33.34987620034774,43.225449121031886,125.99821603182062,92.64833983147288,0,1,0,0
Standard Mock,Moderate,62.08863595004755,32.06176741321883,15.403298761202244,109.55370212446863,77.4919347112498,0,0,0,0
CDS 2 2022,Easy,66.96861235869123,57.05641937427965,47.38466579995411,171.40969753292498,114.35327815864534,1,1,1,1
CDS 2 2022,Easy,63.843517176117594,37.25773611559087,36.98896304410711,138.09021633581557,100.83248022022471,0,1,0,0
CDS 2 2023,Moderate,52.801557916052914,60.68546671462699,30.393612290402125,143.88063692108202,83.19517020645503,1,1,1,0
CDS 2 2023,Moderate,63.43618289568462,51.88900763273754,17.36959844637266,132.69478897479482,80.80578134205727,1,1,0,0
CDS 2 2023,Moderate,56.149177195836835,55.34011546609042,28.230779996940413,139.72007265886768,84.37995719277725,1,1,0,0
